DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2015.12.22,43985,44270,43745,44195,99652,253106,5
2015.12.23,44350,44900,44275,44645,110956,276266,5
2015.12.28,44450,44615,44275,44300,65889,169746,5
2015.12.29,44525,44645,43995,44210,61343,162066,5
2015.12.30,44200,44250,43725,43920,75535,184808,5
2016.01.04,42630,43290,42500,42500,110197,273878,5
2016.01.05,42590,42990,42540,42935,104349,268226,5
2016.01.06,42365,42620,42010,42115,115945,318753,5
2016.01.07,41300,41645,41055,41145,118531,332757,5
2016.01.08,41550,41625,40800,40800,115161,334341,5
2016.01.11,40870,41390,40255,40255,125000,346620,5
2016.01.12,40590,40730,39790,39945,138614,387029,5
2016.01.13,40300,40460,39140,39215,132093,352079,5
2016.01.14,39275,40000,38760,39815,168718,458179,5
2016.01.15,39035,39175,38270,38960,160544,430021,5
2016.01.18,39080,39170,38340,38340,78193,226988,5
2016.01.19,38935,39250,38165,38360,160096,448001,5
2016.01.20,37790,37995,37265,37995,180584,513238,5
2016.01.21,37750,38320,37560,38040,179538,506453,5
2016.01.22,38405,38675,38165,38240,135495,383700,5
2016.01.26,37650,37825,37275,37610,130679,376666,5
2016.01.27,37490,38995,37420,38570,174768,523964,5
2016.01.28,38700,39345,38085,38790,197436,565165,5
2016.01.29,39000,40600,38920,40565,174608,513899,5
2016.02.01,40250,40780,39855,40735,156770,441681,5
2016.02.02,40250,40280,38515,38540,195036,541855,5
2016.02.03,38720,39890,38580,39660,216406,610772,5
2016.02.04,39900,41585,39845,40990,270199,747127,5
2016.02.05,41235,41385,40580,40580,191108,510414,5
2016.02.10,40060,40535,40000,40400,98569,274796,5
2016.02.11,39560,39895,38965,39335,179488,495220,5
2016.02.12,39675,39980,39440,39980,163684,448867,5
2016.02.15,40600,40765,40020,40160,74293,211786,5
2016.02.16,40350,41290,39995,41020,169203,489011,5
2016.02.17,41675,43065,41675,42100,191277,515734,5
2016.02.18,41900,42340,41780,42040,174725,443230,5
2016.02.19,41950,42530,41590,42070,164095,438603,5
2016.02.22,43110,44050,42805,43955,173293,454031,5
2016.02.23,43900,44265,42970,43060,177655,459918,5
2016.02.24,42400,42800,41775,42700,179664,453432,5
2016.02.25,42600,42945,42000,42490,180474,458195,5
2016.02.26,42955,43195,41915,42030,167731,441907,5
2016.02.29,42205,43640,42145,43260,193836,527162,5
2016.03.01,43780,44780,43640,44780,206019,569664,5
2016.03.02,44750,45525,44330,45350,233828,653679,5
2016.03.03,45655,47990,45610,47770,291270,807171,5
2016.03.04,50690,50690,48850,49700,324375,806255,5
2016.03.07,49400,50465,49215,49790,286950,700463,5
2016.03.08,49300,50495,49130,49760,253670,610006,5
2016.03.09,49880,50570,49075,49275,233658,565864,5
2016.03.10,50055,50560,48370,50100,300094,714473,5
2016.03.11,50370,50630,49590,50100,238456,592339,5
2016.03.14,50235,50970,48715,48800,262547,610482,5
2016.03.15,47870,48450,47050,47610,269244,627110,5
2016.03.16,47565,48630,46805,48560,261844,620530,5
2016.03.17,50500,51800,49815,51800,296444,683244,5
2016.03.18,51600,51920,50555,51030,203271,457412,5
2016.03.21,51200,51760,51080,51500,169355,387446,5
2016.03.22,50920,51600,50845,51600,169746,374370,5
2016.03.23,51275,51275,49580,49580,184986,438950,5
2016.03.24,49075,50080,48985,50050,152032,351478,5
2016.03.28,50430,51440,50400,51290,155692,366947,5
2016.03.29,51310,52060,50585,51430,215738,484025,5
2016.03.30,51955,52515,51080,51310,227942,556748,5
2016.03.31,51100,51140,49765,50310,197203,479502,5
2016.04.01,49945,50960,49425,50700,199796,483181,5
2016.04.04,50440,50480,48535,48535,178095,439051,5
2016.04.05,48255,49785,48130,48905,224603,577711,5
2016.04.06,48900,49100,47930,48355,196144,479587,5
2016.04.07,48035,49040,48030,48600,197848,492392,5
2016.04.08,49770,50580,49630,50510,166278,375022,5
2016.04.11,50600,51145,50055,50075,177571,422894,5
2016.04.12,50850,52425,50570,52275,222456,529708,5
2016.04.13,54000,54925,53515,53515,216334,492478,5
2016.04.14,53760,54780,53205,53700,244778,585803,5
2016.04.15,54250,54445,53615,54185,198164,483853,5
2016.04.18,54855,54975,53215,53700,191731,442042,5
2016.04.19,54385,55055,53975,54665,177731,399866,5
2016.04.20,54300,54795,54035,54515,153944,351793,5
2016.04.22,53900,54240,53265,53950,155245,352915,5
2016.04.25,53775,53830,52550,52670,148959,344255,5
2016.04.26,53000,54200,52675,54200,182283,419471,5
2016.04.27,53935,55670,53910,55670,179382,424787,5
2016.04.28,55050,55850,54815,55450,181331,423652,5
2016.04.29,55335,55555,54360,54550,201667,475894,5
2016.05.02,54800,54990,54025,54250,173443,397538,5
2016.05.03,53670,53710,52910,53070,159966,376912,5
2016.05.04,52620,53435,52380,53400,178105,437022,5
2016.05.05,53545,53790,51975,52555,213955,517140,5
2016.05.06,52400,52870,51765,52385,202185,454252,5
2016.05.09,52485,52575,50120,51650,240017,564743,5
2016.05.10,52080,54155,52070,54155,190648,457467,5
2016.05.11,54000,54740,53160,53160,252604,593091,5
2016.05.12,53820,54490,52965,53730,272886,663815,5
2016.05.13,53340,53855,51790,51880,243871,594982,5
2016.05.16,52295,52855,51735,52300,192509,444084,5
2016.05.17,52565,52820,51125,51400,211774,504785,5
2016.05.18,51100,51855,50615,50920,241423,567447,5
2016.05.19,50700,50770,49955,50540,220891,528718,5
2016.05.20,50800,51250,50000,50140,191890,464957,5
2016.05.23,49320,49975,48955,49390,205249,489925,5
2016.05.24,49720,50355,49460,49795,182642,431065,5
2016.05.25,50100,50720,49625,49860,204621,483024,5
2016.05.27,50000,50140,49135,49490,156059,386582,5
2016.05.30,49585,49625,49065,49150,94623,236470,5
2016.05.31,49235,49545,48515,48610,209727,517701,5
2016.06.01,48500,49325,48225,49100,184776,480220,5
2016.06.02,49045,50210,48935,50145,192345,478662,5
2016.06.03,50000,50895,50000,50720,196854,488086,5
2016.06.06,51025,51190,50210,50410,205622,527046,5
2016.06.07,50530,50785,49935,50770,210875,553824,5
2016.06.08,50855,51960,50750,51695,221121,575722,5
2016.06.09,51355,51640,50885,51150,202152,521283,5
2016.06.10,50560,50665,49265,49265,191713,512040,5
2016.06.13,49000,49830,48760,49680,221683,575943,5
2016.06.14,49200,49925,48195,48485,250613,656925,5
2016.06.15,49800,50450,49140,49750,230781,588401,5
2016.06.16,49400,50535,49020,50535,231210,592150,5
2016.06.17,50500,51225,50365,50555,198989,527503,5
2016.06.20,51530,51800,51210,51380,190859,514242,5
2016.06.21,51375,51885,50600,51850,211537,557391,5
2016.06.22,52080,52230,50920,50925,240856,642779,5
2016.06.23,51750,53065,51330,53065,231192,607333,5
2016.06.24,50100,51300,49915,50645,258995,652140,5
2016.06.27,50390,50975,49785,49920,234408,573472,5
2016.06.28,50785,51190,50520,51020,213316,547314,5
2016.06.29,51505,52110,51360,52060,180990,468374,5
2016.06.30,51900,52480,51355,52180,215762,563894,5
2016.07.01,52385,53230,52215,53070,191167,493946,5
2016.07.04,53355,53735,53155,53435,112257,309532,5
2016.07.05,52820,53020,52230,52560,196083,511432,5
2016.07.06,52135,52860,51520,52845,226084,574782,5
2016.07.07,52910,53460,52560,52735,270593,674053,5
2016.07.08,53200,53955,53050,53860,180757,494874,5
2016.07.11,53955,54740,53950,54500,162828,453784,5
2016.07.12,55100,55450,54640,54770,203373,582950,5
2016.07.13,54845,55345,54335,55345,232127,623935,5
2016.07.14,55955,56270,55610,55830,226075,611107,5
2016.07.15,55745,56275,55715,55800,192432,517204,5
2016.07.18,55935,57400,55855,57400,181764,523488,5
2016.07.19,56950,57475,56725,57475,205197,563397,5
2016.07.20,57405,57565,56735,57070,227729,624555,5
2016.07.21,57010,57440,56700,57325,236724,641423,5
2016.07.22,57300,57685,57000,57440,185997,521494,5
2016.07.25,57360,57620,56825,57380,200244,558048,5
2016.07.26,57580,57770,57145,57300,200676,564011,5
2016.07.27,57490,57795,57100,57200,194388,554045,5
2016.07.28,56900,57190,56315,57190,221871,629691,5
2016.07.29,56950,57850,56655,57845,214702,602346,5
2016.08.01,57560,57980,56935,57040,202783,564628,5
2016.08.02,56865,57270,55970,56500,257016,740532,5
2016.08.03,56350,57435,56025,57435,243340,679936,5
2016.08.04,57555,58330,57345,57820,251749,717737,5
2016.08.05,57890,58200,57470,57820,222815,625294,5
2016.08.08,57935,58120,57530,57880,177881,523830,5
2016.08.09,57970,58280,57740,57910,181140,520113,5
